,pmid,old_category,new_category
155,18492270,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
156,25897133,acgh-and-snp-microarray,"{'/chip-seq-category', '/dna-modifications-analysis-category', '/single-cell-rna-seq-category', '/small-rna-seq-category', '/rna-seq-category', '/cage-category', '/whole-exome-sequencing-category', '/acgh-and-snp-microarray-category', '/metatranscriptomics-category', '/gene-expression-analysis-category', '/protein-sequence-analysis-category', '/whole-genome-resequencing-category', '/gene-expression-microarray-category', '/protein-interaction-analysis-category'}"
157,23966112,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
158,18689815,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
159,23028187,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
160,20176570,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
161,26283699,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
162,24532724,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
163,21403910,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
164,24740330,amplicon-sequencing,{'/amplicon-sequencing-category'}
165,29538618,amplicon-sequencing,"{'/chip-seq-category', '/whole-exome-sequencing-category', '/amplicon-sequencing-category', '/metagenomics-category', '/rad-seq-category', '/rna-seq-category', '/cage-category', '/gbs-category', '/metatranscriptomics-category', '/small-rna-seq-category', '/whole-genome-resequencing-category', '/dnase-seq-category', '/rip-seq-clip-seq-category', '/ribo-seq-category', '/de-novo-genome-sequencing-category'}"
166,26796102,amplicon-sequencing,{'/amplicon-sequencing-category'}
167,25428359,amplicon-sequencing,"{'/whole-genome-resequencing-category', '/whole-exome-sequencing-category', '/amplicon-sequencing-category', '/de-novo-genome-sequencing-category'}"
168,28137711,amplicon-sequencing,{'/amplicon-sequencing-category'}
169,25228465,amplicon-sequencing,{'/amplicon-sequencing-category'}
170,27100738,amplicon-sequencing,{'/amplicon-sequencing-category'}
171,22618877,amplicon-sequencing,{'/amplicon-sequencing-category'}
172,28484262,amplicon-sequencing,{'/amplicon-sequencing-category'}
173,27009209,amplicon-sequencing,{'/amplicon-sequencing-category'}
174,29084957,amplicon-sequencing,{'/amplicon-sequencing-category'}
175,28253235,amplicon-sequencing,"{'/chip-seq-category', '/single-cell-rna-seq-category', '/whole-exome-sequencing-category', '/amplicon-sequencing-category', '/metagenomics-category', '/rna-seq-category', '/cage-category', '/small-rna-seq-category', '/metatranscriptomics-category', '/whole-genome-resequencing-category', '/dnase-seq-category', '/rip-seq-clip-seq-category', '/ribo-seq-category', '/de-novo-genome-sequencing-category'}"
176,29452334,amplicon-sequencing,{'/amplicon-sequencing-category'}
177,29069318,amplicon-sequencing,{'/amplicon-sequencing-category'}
178,29181276,atac-seq-analysis,{'/atac-seq-analysis-category'}
179,26314830,atac-seq-analysis,{'/atac-seq-analysis-category'}
180,26984526,binning-16s-datasets,{'/binning-16s-datasets-category'}
181,22319563,binning-16s-datasets,"{'/protein-interaction-analysis-category', '/binning-16s-datasets-category', '/nmr-based-proteomics-category'}"
182,21674231,binning-16s-datasets,{'/binning-16s-datasets-category'}
183,25819674,binning-16s-datasets,{'/binning-16s-datasets-category'}
184,25950956,binning-16s-datasets,{'/binning-16s-datasets-category'}
185,21700674,binning-16s-datasets,{'/binning-16s-datasets-category'}
186,25527546,binning-16s-datasets,{'/binning-16s-datasets-category'}
187,8996789,binning-16s-datasets,{'/binning-16s-datasets-category'}
188,23028285,binning-16s-datasets,{'/binning-16s-datasets-category'}
189,23871656,binning-16s-datasets,{'/binning-16s-datasets-category'}
190,23469211,binning-16s-datasets,"{'/amplicon-sequencing-category', '/binning-16s-datasets-category'}"
191,25732605,binning-16s-datasets,{'/binning-16s-datasets-category'}
192,23975157,binning-16s-datasets,{'/binning-16s-datasets-category'}
193,19465390,binning-16s-datasets,{'/binning-16s-datasets-category'}
194,23511542,binning-16s-datasets,"{'/amplicon-sequencing-category', '/binning-16s-datasets-category'}"
195,26139637,binning-16s-datasets,"{'/chip-seq-category', '/single-cell-rna-seq-category', '/rep-seq-category', '/whole-exome-sequencing-category', '/amplicon-sequencing-category', '/metagenomics-category', '/rad-seq-category', '/rna-seq-category', '/small-rna-seq-category', '/gbs-category', '/metatranscriptomics-category', '/binning-16s-datasets-category', '/protein-sequence-analysis-category', '/whole-genome-resequencing-category', '/rip-seq-clip-seq-category', '/ribo-seq-category', '/de-novo-genome-sequencing-category'}"
196,17586664,binning-16s-datasets,{'/binning-16s-datasets-category'}
197,26285202,binning-16s-datasets,{'/binning-16s-datasets-category'}
198,25167975,binning-16s-datasets,{'/binning-16s-datasets-category'}
199,29018622,binning-16s-datasets,{'/binning-16s-datasets-category'}
200,29028181,binning-16s-datasets,{'/binning-16s-datasets-category'}
201,19668203,binning-16s-datasets,"{'/amplicon-sequencing-category', '/binning-16s-datasets-category'}"
202,19710709,binning-16s-datasets,{'/binning-16s-datasets-category'}
203,25880302,binning-16s-datasets,{'/binning-16s-datasets-category'}
204,20827291,binning-16s-datasets,{'/binning-16s-datasets-category'}
205,20709691,binning-16s-datasets,"{'/chip-seq-category', '/single-cell-rna-seq-category', '/rep-seq-category', '/whole-exome-sequencing-category', '/amplicon-sequencing-category', '/metagenomics-category', '/binning-16s-datasets-category', '/rad-seq-category', '/rna-seq-category', '/small-rna-seq-category', '/protein-sequence-analysis-category', '/gbs-category', '/metatranscriptomics-category', '/whole-genome-resequencing-category', '/rip-seq-clip-seq-category', '/ribo-seq-category', '/de-novo-genome-sequencing-category'}"
206,22406836,binning-16s-datasets,{'/binning-16s-datasets-category'}
207,20383131,binning-16s-datasets,"{'/amplicon-sequencing-category', '/metagenomics-category', '/binning-16s-datasets-category'}"
208,16332807,binning-16s-datasets,{'/binning-16s-datasets-category'}
209,16893466,binning-16s-datasets,{'/binning-16s-datasets-category'}
210,28968799,binning-16s-datasets,{'/binning-16s-datasets-category'}
211,21518444,binning-16s-datasets,{'/binning-16s-datasets-category'}
212,27259475,binning-16s-datasets,{'/binning-16s-datasets-category'}
213,19417062,binning-16s-datasets,{'/binning-16s-datasets-category'}
214,29659582,binning-16s-datasets,{'/binning-16s-datasets-category'}
